Startup_name,Category,Funding_total_usd,Status,State_code,City,Funding_rounds,Founded_at,Founded_month,Founded_quarter,Has_VC,Has_angel,Has_roundA,Has_roundB,Has_roundC,Has_roundD,Age_first_funding_year,Age_last_funding_year
Crashlytics,mobile," 60,00,000 ",1,MA,Cambridge,2,2011/2/1,2,2011-Q1,1,0,1,0,0,0,0,1
Cratejoy,e-commerce," 40,00,000 ",1,TX,Austin,1,2013/1/1,1,2013-Q1,1,0,1,0,0,0,1,1
Cream Style,e-commerce," 1,00,000 ",1,NY,New York,1,2013/1/5,1,2013-Q1,0,0,0,0,0,0,1,1
CreativeWorx,hardware&software," 4,00,000 ",1,NY,New York,1,2011/9/7,9,2011-Q3,0,0,0,0,0,0,0,0
Credible,finance," 15,00,000 ",1,CA,San Francisco,2,2012/11/1,11,2012-Q4,0,0,0,0,0,0,2,2
Credit Sesame,finance," 1,93,50,000 ",1,CA,Mountain View,3,2010/4/1,4,2010-Q2,1,0,1,1,1,0,0,2
CreditCards.com,web," 5,88,00,000 ",1,NY,New York,1,2004/1/1,1,2004-Q1,1,0,0,0,0,0,6,6
Crescendo Networks,web," 2,45,00,000 ",1,CA,Sunnyvale,3,2002/1/1,1,2002-Q1,1,0,1,0,1,1,4,7
CrestaTech,hardware&software," 2,08,85,000 ",1,CA,Santa Clara,4,2005/11/30,11,2005-Q4,1,1,1,0,0,0,0,7
Critical Biologics Corporation,biotechnology," 5,00,000 ",1,MA,Cambridge,1,2004/1/1,1,2004-Q1,0,0,0,0,0,0,5,5
Critical Diagnostics,biotechnology," 25,66,676 ",1,CA,San Diego,1,2004/1/1,1,2004-Q1,1,0,0,0,0,0,9,9
Critical Media,games," 62,00,000 ",1,NY,New York,3,2002/1/1,1,2002-Q1,1,0,1,1,0,0,2,4
Crittercism,mobile," 4,87,20,000 ",1,CA,San Francisco,5,2011/1/1,1,2011-Q1,1,0,1,1,1,0,0,3
Cross Pixel Media,advertising," 18,00,015 ",1,NY,New York,2,2010/1/1,1,2010-Q1,1,0,1,0,0,0,0,1
Crossbar,hardware&software," 4,55,87,000 ",1,CA,Santa Clara,2,2008/1/1,1,2008-Q1,1,0,0,1,1,0,4,6
Crossing Automation,semiconductors," 1,32,05,000 ",1,CA,Mountain View,2,2003/1/1,1,2003-Q1,1,0,1,1,0,0,5,7
Crowd Factory,social_media," 65,00,000 ",1,CA,San Francisco,1,2009/1/1,1,2009-Q1,1,0,0,0,0,0,2,2
Crowd Science,advertising," 20,00,000 ",1,CA,San Jose,1,2007/12/1,12,2007-Q4,1,0,1,0,0,0,0,0
Crowdcast,hardware&software," 60,00,000 ",1,CA,San Francisco,1,2007/1/1,1,2007-Q1,1,0,1,0,0,0,3,3
Crowdfunder,finance," 49,00,000 ",1,CA,Los Angeles,3,2011/12/5,12,2011-Q4,1,1,1,0,0,0,1,3
CrowdMed,health&medical," 23,80,000 ",1,CA,San Francisco,4,2012/10/1,10,2012-Q4,0,0,0,0,0,0,0,2
CrowdMob,mobile," 10,00,000 ",1,CA,San Francisco,1,2010/9/1,9,2010-Q3,0,0,0,0,0,0,1,1
Crowdnetic,finance," 19,00,000 ",1,NY,New York,1,2011/1/1,1,2011-Q1,0,0,0,0,0,0,3,3
CrowdOptic,analytics," 74,96,000 ",1,CA,San Francisco,10,2010/1/1,1,2010-Q1,1,0,1,0,0,0,0,4
Crowdsourcing.org,finance," 2,50,000 ",1,CA,Los Angeles,1,2010/10/1,10,2010-Q4,0,0,0,0,0,0,3,3
Crowdtap,social_media," 1,50,00,000 ",1,NY,New York,3,2009/10/1,10,2009-Q4,1,0,1,1,0,0,0,5
CrowdTwist,travel," 1,61,76,000 ",1,NY,New York,6,2009/8/1,8,2009-Q3,1,0,1,1,0,0,1,5
Crowdzu,fashion,"35,000",1,NY,New York,1,2012/1/1,1,2012-Q1,0,0,0,0,0,0,1,1
CrownPeak,hardware&software," 1,20,00,000 ",1,CA,Los Angeles,3,2001/1/19,1,2001-Q1,1,0,1,1,1,0,5,9
Crowsnest,hardware&software," 1,38,000 ",1,WA,Seattle,2,2014/1/15,1,2014-Q1,0,0,0,0,0,0,0,0
Crunchbutton,e-commerce," 4,30,000 ",1,CA,Los Angeles,1,2012/1/1,1,2012-Q1,0,0,0,0,0,0,1,1
Crunched,analytics," 14,00,000 ",1,NY,New York,1,2010/4/2,4,2010-Q2,0,0,0,0,0,0,1,1
Crunchyroll,art&music," 48,00,000 ",1,CA,San Francisco,2,2008/1/1,1,2008-Q1,1,0,1,0,0,0,0,2
CSID,hardware&software," 4,21,30,000 ",1,TX,Austin,3,2006/1/1,1,2006-Q1,1,0,1,1,0,0,0,5
Cubby,mobile,"65,000",1,NY,New York,1,2011/2/15,2,2011-Q1,1,0,0,0,0,0,0,0
Cubikal,mobile,"10,000",0,CA,San Francisco,1,2012/9/9,9,2012-Q3,0,0,0,0,0,0,0,0
Cue,web," 47,15,000 ",1,CA,San Francisco,3,2010/1/1,1,2010-Q1,1,0,1,0,0,0,0,1
Cue,biotechnology," 75,00,000 ",1,CA,San Diego,1,2010/1/1,1,2010-Q1,1,0,1,0,0,0,4,4
Culture Jam,mobile," 17,00,000 ",1,CA,Los Angeles,2,2008/7/1,7,2008-Q3,0,1,0,0,0,0,0,4
CultureIQ,hardware&software," 2,00,000 ",1,NY,New York,1,2013/7/22,7,2013-Q3,0,0,0,0,0,0,1,1
Cumulus Networks,web," 5,10,00,000 ",1,CA,Mountain View,2,2010/1/1,1,2010-Q1,1,0,1,1,0,0,2,4
Curacao,e-commerce," 1,50,00,000 ",1,CA,Los Angeles,1,1978/1/1,1,1978-Q1,0,0,0,0,0,0,33,33
Curbed Network,advertising," 15,00,000 ",1,NY,New York,1,2004/1/1,1,2004-Q1,0,1,0,0,0,0,3,3
Cureatr,health&medical," 61,25,000 ",1,NY,New York,2,2011/1/1,1,2011-Q1,1,0,1,0,0,0,0,2
Curiously,hardware&software," 4,00,000 ",1,NY,New York,1,2014/1/1,1,2014-Q1,0,0,0,0,0,0,0,0
Curis,biotechnology," 2,29,64,000 ",1,MA,Cambridge,4,2000/1/1,1,2000-Q1,1,0,0,0,0,0,10,12
Current Media,web," 1,50,00,000 ",0,CA,San Francisco,1,2005/1/1,1,2005-Q1,1,0,1,0,0,0,0,0
CustomMade,e-commerce," 2,56,50,000 ",1,MA,Cambridge,5,1996/1/1,1,1996-Q1,1,1,1,1,0,0,13,17
Cuturia,mobile," 2,00,000 ",0,CA,Los Angeles,1,2012/4/1,4,2012-Q2,0,0,0,0,0,0,0,0
Cuyana,e-commerce," 17,00,000 ",1,CA,San Francisco,1,2013/1/1,1,2013-Q1,0,0,0,0,0,0,0,0
CX,hardware&software," 76,59,999 ",1,CA,Palo Alto,3,2009/1/1,1,2009-Q1,1,0,0,0,0,0,0,3
Cyanogen,hardware&software," 3,00,00,000 ",1,CA,Palo Alto,2,2009/4/1,4,2009-Q2,1,0,1,1,0,0,4,4
Cyber Holdings,games," 1,52,000 ",1,CA,San Diego,1,2011/6/13,6,2011-Q2,0,0,0,0,0,0,2,2
Cybereason,security," 46,00,000 ",1,MA,Cambridge,1,2012/1/1,1,2012-Q1,1,0,1,0,0,0,2,2
CyberFlow Analytics,hardware&software," 20,00,000 ",1,CA,San Diego,1,2013/1/1,1,2013-Q1,0,0,0,0,0,0,0,0
Cymtec Systems,hardware&software," 40,26,891 ",1,CA,Sunnyvale,3,2000/1/1,1,2000-Q1,1,0,0,0,0,0,10,13
Cynny,web," 65,10,878 ",1,CA,Menlo Park,2,2012/1/18,1,2012-Q1,0,1,0,0,0,0,0,2
Cyntellect,biotechnology," 2,45,00,000 ",1,CA,San Diego,2,1997/1/1,1,1997-Q1,1,0,0,0,0,0,12,13
Cyphort,web," 2,37,00,000 ",1,CA,Santa Clara,3,2011/3/1,3,2011-Q1,1,0,1,1,0,0,0,2
Cyto Wave Technologies,biotechnology," 9,65,000 ",0,CA,San Francisco,1,2012/1/1,1,2012-Q1,1,0,0,0,0,0,1,1
Cytori Therapeutics,biotechnology," 5,47,51,700 ",1,CA,San Diego,4,1996/1/1,1,1996-Q1,1,0,0,0,0,0,13,18
D2C Games,games," 75,00,000 ",0,CA,San Mateo,2,2006/1/1,1,2006-Q1,1,0,1,0,0,0,0,1
Dabo Health,health&medical," 19,95,275 ",1,CA,San Francisco,1,2011/1/1,1,2011-Q1,1,0,0,0,0,0,2,2
Dachis Group,advertising," 3,75,00,000 ",1,TX,Austin,2,2008/1/1,1,2008-Q1,1,0,0,1,1,0,3,5
Dagne Dover,fashion," 13,00,000 ",1,NY,New York,2,2012/1/1,1,2012-Q1,0,0,0,0,0,0,2,2
Daily Interactive Networks,hardware&software," 5,05,185 ",1,WA,Seattle,1,2009/1/1,1,2009-Q1,1,0,0,0,0,0,2,2
DailyCred,web," 4,20,000 ",1,CA,San Francisco,2,2011/1/1,1,2011-Q1,0,0,0,0,0,0,0,0
DailyStrength,web," 50,00,000 ",1,CA,Los Angeles,1,2006/4/1,4,2006-Q2,1,0,1,0,0,0,1,1
